usc,name_sc,region,market,timezone,sid,marketCode,marketType,type,instrumentType,subInstrumentType,req_section,flag_enable
BTC,比特币,CC,COMPOSITE,Etc/UTC,12000015,12,2,2,4,4002,null,1
BTCHKD,BTC/HKD,CC,COMPOSITE,Etc/UTC,12001938,413,17,2,11,11003,null,1
BTCUSD,BTC/USD,CC,COMPOSITE,Etc/UTC,12001145,411,17,2,11,11003,null,1
ETH,以太坊,CC,COMPOSITE,Etc/UTC,12000032,12,2,2,4,4002,null,1
PAXGUSD,PAXG/USD,CC,COMPOSITE,Etc/UTC,12003913,413,17,2,11,11003,null,1
USDCUSD,USDC/USD,CC,COMPOSITE,Etc/UTC,12001038,413,17,2,11,11003,null,1
USDTUSD,USDT/USD,CC,COMPOSITE,Etc/UTC,12001087,413,17,2,11,11003,null,1
899050,北证50,CN,BJ,Asia/Shanghai,84207144704426,38,23,2,6,6001,null,1
920185,贝特瑞,CN,BJ,Asia/Shanghai,87449845034041,38,23,2,3,3002,null,1
920418,苏轴股份,CN,BJ,Asia/Shanghai,87449845034274,38,23,2,3,3002,null,1
920493,并行科技,CN,BJ,Asia/Shanghai,87449845034349,38,23,2,3,3002,null,1
920599,同力股份,CN,BJ,Asia/Shanghai,87449845034455,38,23,2,3,3002,null,1
920799,艾融软件,CN,BJ,Asia/Shanghai,86809894907551,38,23,2,3,3002,null,1
920808,曙光数创,CN,BJ,Asia/Shanghai,87449845034664,38,23,2,3,3002,null,1
920982,锦波生物,CN,BJ,Asia/Shanghai,87449845034838,38,23,2,3,3002,null,1
506002,易方达科创板,CN,SH,Asia/Shanghai,80118321445586,30,4,2,4,4001,null,1
510300,沪深300ETF华泰柏瑞,CN,SH,Asia/Shanghai,1510300,30,4,2,4,4002,null,1
511880,银华日利ETF,CN,SH,Asia/Shanghai,1511880,30,4,2,4,4002,null,1
511990,华宝添益ETF,CN,SH,Asia/Shanghai,1511990,30,4,2,4,4002,null,1
512000,券商ETF华宝,CN,SH,Asia/Shanghai,1512000,30,4,2,4,4002,null,1
512130,全指现金流ETF鹏华,CN,SH,Asia/Shanghai,87054693634754,30,4,2,4,4002,null,1
512500,中证500ETF华夏,CN,SH,Asia/Shanghai,1512500,30,4,2,4,4002,null,1
512570,证券ETF易方达,CN,SH,Asia/Shanghai,74680892855418,30,4,2,4,4002,null,1
512730,银行ETF鹏华,CN,SH,Asia/Shanghai,78589313094938,30,4,2,4,4002,null,1
512800,银行ETF华宝,CN,SH,Asia/Shanghai,74646533117280,30,4,2,4,4002,null,1
512820,银行ETF汇添富,CN,SH,Asia/Shanghai,76695232517492,30,4,2,4,4002,null,1
513010,恒生科技ETF易方达,CN,SH,Asia/Shanghai,80620832626226,30,4,2,4,4002,null,1
513050,中概互联网ETF易方达,CN,SH,Asia/Shanghai,73800424560218,30,4,2,4,4002,null,1
513100,纳指ETF国泰,CN,SH,Asia/Shanghai,1513100,30,4,2,4,4002,null,1
513130,恒生科技ETF华泰柏瑞,CN,SH,Asia/Shanghai,80650897397418,30,4,2,4,4002,null,1
513330,恒生互联网ETF华夏,CN,SH,Asia/Shanghai,80156976158578,30,4,2,4,4002,null,1
513500,标普500ETF博时,CN,SH,Asia/Shanghai,1513500,30,4,2,4,4002,null,1
513730,东南亚科技ETF华泰柏瑞,CN,SH,Asia/Shanghai,84572202539266,30,4,2,4,4002,null,1
515180,红利ETF易方达,CN,SH,Asia/Shanghai,78378859699884,30,4,2,4,4002,null,1
515450,红利低波50ETF南方,CN,SH,Asia/Shanghai,78670917476282,30,4,2,4,4002,null,1
516150,稀土ETF嘉实,CN,SH,Asia/Shanghai,80324479885942,30,4,2,4,4002,null,1
516780,稀土ETF华泰柏瑞,CN,SH,Asia/Shanghai,80285825180908,30,4,2,4,4002,null,1
517400,黄金股ETF国泰,CN,SH,Asia/Shanghai,85255102343000,30,4,2,4,4002,null,1
517520,黄金股ETF永赢,CN,SH,Asia/Shanghai,84443353524176,30,4,2,4,4002,null,1
518660,黄金ETF工银,CN,SH,Asia/Shanghai,79070349438020,30,4,2,4,4002,null,1
518800,黄金ETF国泰,CN,SH,Asia/Shanghai,1518800,30,4,2,4,4002,null,1
518880,黄金ETF华安,CN,SH,Asia/Shanghai,1518880,30,4,2,4,4002,null,1
520580,新兴亚洲ETF招商,CN,SH,Asia/Shanghai,86492052927428,30,4,2,4,4002,null,1
