============================================================
股票数据分析报告[HKEX]


涨幅超过 5% 的股票清单（按涨幅从高到低排序）
------------------------------------------------------------------------------------------------------------------------
序号        	证券代码           	股票名称      	市场      	当前价       	涨幅(%)     	涨跌方向      	最后更新              
-----     	---------      	--------  	----    	-------   	-------   	----------        
1         	01087          	威讯控股      	港       	      1.03	     25.61%	🔴        	06-28 19:54:35    
2         	01540          	澳狮环球      	港       	      0.50	     25.32%	🔴        	06-28 19:54:35    
3         	00339          	全球数字控股    	港       	      0.81	     15.71%	🔴        	06-28 18:54:37    
4         	02381          	蚬壳电业      	港       	      0.30	     15.69%	🔴        	06-28 17:24:35    
5         	06890          	康利国际控股    	港       	      0.50	     14.94%	🔴        	06-28 19:24:35    
6         	02178          	百勤油服      	港       	      0.16	     14.08%	🔴        	06-28 19:39:33    
7         	08521          	智云国际控股    	港       	      0.75	     11.94%	🔴        	06-28 18:09:34    
8         	00721          	中国金融国际-新  	港       	      0.17	     11.84%	🔴        	06-28 18:39:36    
9         	02187          	智欣集团控股    	港       	      0.59	     11.32%	🔴        	06-28 17:54:33    
10        	09955          	智云健康      	港       	      0.59	     11.32%	🔴        	06-28 18:39:36    
11        	01490          	AI X T..  	港       	      0.28	     10.00%	🔴        	06-28 19:09:33    
12        	00458          	联亚集团      	港       	      2.00	      9.89%	🔴        	06-28 17:39:36    
13        	01202          	四威科技      	港       	      1.55	      9.15%	🔴        	06-28 17:24:35    
14        	02297          	润迈德-B     	港       	      0.24	      8.64%	🔴        	06-28 19:09:33    
15        	02415          	梅斯健康      	港       	      1.02	      8.51%	🔴        	06-28 17:24:35    
16        	01380          	中国金石      	港       	      0.91	      8.33%	🔴        	06-28 18:09:34    
17        	02486          	普乐师集团控股   	港       	      3.57	      8.18%	🔴        	06-28 18:39:36    
18        	02779          	中国新华教育    	港       	      0.34	      8.06%	🔴        	06-28 17:54:33    
------------------------------------------------------------------------------------------------------------------------
合计: 18 只股票


跌幅超过 5% 的股票清单（按跌幅从大到小排序）
------------------------------------------------------------------------------------------------------------------------
序号        	证券代码           	股票名称      	市场      	当前价       	跌幅(%)     	涨跌方向      	最后更新              
-----     	---------      	--------  	----    	   -------	   -------	----------	        ----------
1         	02226          	老恒和酿造     	港       	      0.51	    -19.05%	🟢        	06-28 19:24:35    
2         	01332          	透云生物      	港       	      0.12	    -15.83%	🟢        	06-28 19:09:33    
3         	00532          	WKK IN..  	港       	      0.41	    -15.63%	🟢        	06-28 19:24:35    
4         	08450          	钜京控股      	港       	      0.60	    -14.29%	🟢        	06-28 17:24:35    
5         	01920          	巨美集团      	港       	      0.55	    -12.70%	🟢        	06-28 19:09:33    
6         	01853          	春城热力      	港       	      1.16	    -12.12%	🟢        	06-28 17:54:33    
7         	01945          	清科控股      	港       	      1.47	    -11.98%	🟢        	06-28 18:24:36    
8         	06968          	港龙中国地产    	港       	      0.15	    -11.76%	🟢        	06-28 19:54:35    
9         	02262          	梁志天设计集团   	港       	      0.53	    -11.67%	🟢        	06-28 17:24:35    
10        	08637          	元续科技      	港       	      3.51	    -11.59%	🟢        	06-28 17:54:33    
11        	00827          	玖源集团      	港       	      0.05	    -11.32%	🟢        	06-28 19:09:33    
12        	00524          	长城天下      	港       	      1.52	    -11.11%	🟢        	06-28 18:54:37    
13        	02680          	创陞控股      	港       	      5.43	    -10.98%	🟢        	06-28 19:09:33    
14        	01777          	花样年控股     	港       	      0.05	    -10.00%	🟢        	06-28 19:24:35    
15        	00860          	APOLLO出行  	港       	      0.56	     -9.68%	🟢        	06-28 17:39:36    
16        	01215          	开源控股      	港       	      0.02	     -9.52%	🟢        	06-28 19:54:35    
17        	01641          	红星冷链      	港       	      4.37	     -9.15%	🟢        	06-28 18:24:36    
18        	00607          	丰盛控股      	港       	      0.50	     -9.09%	🟢        	06-28 19:09:33    
19        	02237          	中国石墨      	港       	      0.20	     -9.09%	🟢        	06-28 19:09:33    
20        	01751          	智算能建      	港       	      1.11	     -9.02%	🟢        	06-28 19:09:33    
21        	01461          	中泰期货      	港       	      0.51	     -8.93%	🟢        	06-28 17:54:33    
22        	01399          	锐信控股      	港       	      0.37	     -8.75%	🟢        	06-28 18:39:36    
23        	02573          	新琪安       	港       	      4.40	     -8.14%	🟢        	06-28 18:24:36    
------------------------------------------------------------------------------------------------------------------------
合计: 23 只股票


振幅超过 6% 的股票清单（按振幅从高到低排序）
------------------------------------------------------------------------------------------------------------------------
序号        	证券代码           	股票名称      	市场              	当前价       	振幅(%)     	涨幅(%)     	涨跌方向      	              最后更新
-----     	---------      	--------  	-------         	------------	-------------	--------  	----      	    --------------
1         	00496          	卡森国际      	港               	      0.20	     86.77%	     -1.96%	🟢        	    06-28 18:54:37
2         	01087          	威讯控股      	港               	      1.03	     54.88%	     25.61%	🔴        	    06-28 19:54:35
3         	08450          	钜京控股      	港               	      0.60	     42.86%	    -14.29%	🟢        	    06-28 17:24:35
4         	01540          	澳狮环球      	港               	      0.50	     32.91%	     25.32%	🔴        	    06-28 19:54:35
5         	02562          	狮腾控股      	港               	      1.41	     29.63%	      4.44%	🔴        	    06-28 17:24:35
6         	02415          	梅斯健康      	港               	      1.02	     27.66%	      8.51%	🔴        	    06-28 17:24:35
7         	01011          	泰凌医药      	港               	      0.40	     27.50%	      0.00%	↔️        	    06-28 18:39:36
8         	00256          	冠城钟表珠宝    	港               	      0.06	     26.15%	     -7.69%	🟢        	    06-28 19:54:35
9         	00339          	全球数字控股    	港               	      0.81	     25.71%	     15.71%	🔴        	    06-28 18:54:37
10        	08146          	怡园酒业      	港               	      0.45	     25.00%	      2.27%	🔴        	    06-28 18:54:37
11        	08521          	智云国际控股    	港               	      0.75	     23.88%	     11.94%	🔴        	    06-28 18:09:34
12        	01215          	开源控股      	港               	      0.02	     23.81%	     -9.52%	🟢        	    06-28 19:54:35
13        	09689          	金泰丰国际控股   	港               	      0.65	     23.81%	      3.17%	🔴        	    06-28 17:24:35
14        	00439          	瀚源控股      	港               	      0.56	     23.08%	      7.69%	🔴        	    06-28 18:54:37
15        	00508          	鼎亿集团投资    	港               	      0.37	     22.79%	     -6.33%	🟢        	    06-28 19:09:33
16        	01633          	上谕集团      	港               	      0.40	     22.67%	      5.33%	🔴        	    06-28 19:39:33
17        	02226          	老恒和酿造     	港               	      0.51	     22.22%	    -19.05%	🟢        	    06-28 19:24:35
18        	01290          	中国汇融      	港               	      0.53	     21.15%	      1.92%	🔴        	    06-28 17:39:36
19        	00698          	通达集团      	港               	      1.90	     21.13%	     -2.06%	🟢        	    06-28 18:54:37
20        	02779          	中国新华教育    	港               	      0.34	     20.97%	      8.06%	🔴        	    06-28 17:54:33
21        	06188          	迪信通       	港               	      0.65	     19.40%	     -2.99%	🟢        	    06-28 17:39:36
22        	09955          	智云健康      	港               	      0.59	     18.87%	     11.32%	🔴        	    06-28 18:39:36
23        	00543          	太平洋网络     	港               	      0.26	     18.52%	     -3.70%	🟢        	    06-28 19:24:35
24        	00685          	世界华文媒体    	港               	      0.19	     18.42%	      0.00%	↔️        	    06-28 19:24:35
25        	02381          	蚬壳电业      	港               	      0.30	     17.65%	     15.69%	🔴        	    06-28 17:24:35
26        	01399          	锐信控股      	港               	      0.37	     17.50%	     -8.75%	🟢        	    06-28 18:39:36
27        	01920          	巨美集团      	港               	      0.55	     17.46%	    -12.70%	🟢        	    06-28 19:09:33
28        	01945          	清科控股      	港               	      1.47	     17.37%	    -11.98%	🟢        	    06-28 18:24:36
29        	03860          	EPS创健科技   	港               	      0.60	     17.24%	      3.45%	🔴        	    06-28 19:09:33
30        	06968          	港龙中国地产    	港               	      0.15	     17.06%	    -11.76%	🟢        	    06-28 19:54:35
31        	02178          	百勤油服      	港               	      0.16	     16.90%	     14.08%	🔴        	    06-28 19:39:33
32        	01756          	中国科教产业    	港               	      0.44	     16.85%	     -1.12%	🟢        	    06-28 17:54:33
33        	06890          	康利国际控股    	港               	      0.50	     16.09%	     14.94%	🔴        	    06-28 19:24:35
34        	02693          	金岩高岭新材    	港               	      2.90	     15.88%	      4.69%	🔴        	    06-28 19:39:33
35        	01332          	透云生物      	港               	      0.12	     15.83%	    -15.83%	🟢        	    06-28 19:09:33
36        	02258          	华滋国际海洋    	港               	      0.32	     15.63%	     -1.56%	🟢        	    06-28 19:54:35
37        	00827          	玖源集团      	港               	      0.05	     15.09%	    -11.32%	🟢        	    06-28 19:09:33
38        	00532          	WKK INTL (HOLD)	港               	      0.41	     14.58%	    -15.63%	🟢        	    06-28 19:24:35
39        	08050          	城市酷选      	港               	      1.48	     14.48%	      2.07%	🔴        	    06-28 18:39:36
40        	00980          	联华超市      	港               	      0.30	     14.29%	      7.14%	🔴        	    06-28 18:09:34
41        	02250          	小黄鸭德盈     	港               	      0.33	     14.29%	      4.76%	🔴        	    06-28 19:09:33
42        	00784          	凌锐控股      	港               	      0.54	     14.04%	     -5.26%	🟢        	    06-28 18:24:36
43        	00302          	中手游       	港               	      0.18	     13.90%	     -3.74%	🟢        	    06-28 17:39:36
44        	01640          	千循科技      	港               	      0.59	     13.79%	      1.72%	🔴        	    06-28 18:54:37
45        	01608          	伟能集团      	港               	      0.08	     13.75%	      2.50%	🔴        	    06-28 17:39:36
46        	08646          	中国宏光      	港               	      0.34	     13.70%	     -6.85%	🟢        	    06-28 19:39:33
47        	00166          	新时代集团控股   	港               	      0.03	     13.33%	     -3.33%	🟢        	    06-28 19:54:35
48        	03913          	合景悠活      	港               	      0.14	     13.24%	      2.94%	🔴        	    06-28 19:39:33
49        	01751          	智算能建      	港               	      1.11	     13.12%	     -9.02%	🟢        	    06-28 19:09:33
50        	00875          	从玉智农      	港               	      0.52	     12.96%	     -3.70%	🟢        	    06-28 18:54:37
51        	02167          	天润云       	港               	      3.18	     12.93%	      0.32%	🔴        	    06-28 17:39:36
52        	01529          	乐氏国际控股    	港               	      0.39	     12.66%	     -1.27%	🟢        	    06-28 19:54:35
53        	02440          	迷策略       	港               	      0.99	     12.62%	     -3.88%	🟢        	    06-28 18:24:36
54        	00865          	建德国际控股    	港               	      0.06	     12.50%	     -1.79%	🟢        	    06-28 19:09:33
55        	08431          	浩柏国际      	港               	      1.88	     12.29%	      5.03%	🔴        	    06-28 18:09:34
56        	01993          	雅仕维       	港               	      0.57	     12.28%	      0.00%	↔️        	    06-28 19:39:33
57        	03377          	远洋集团      	港               	      0.05	     12.25%	      4.08%	🔴        	    06-28 17:24:35
58        	00989          	中国长白山国际   	港               	      0.85	     12.22%	     -5.56%	🟢        	    06-28 19:24:35
59        	02680          	创陞控股      	港               	      5.43	     12.13%	    -10.98%	🟢        	    06-28 19:09:33
60        	01808          	企展控股      	港               	      2.27	     12.07%	     -2.16%	🟢        	    06-28 17:39:36
61        	01793          	伟工控股      	港               	      0.38	     12.00%	      0.00%	↔️        	    06-28 19:24:35
62        	02453          	美中嘉和      	港               	      0.71	     12.00%	     -5.33%	🟢        	    06-28 17:39:36
63        	01202          	四威科技      	港               	      1.55	     11.97%	      9.15%	🔴        	    06-28 17:24:35
64        	08637          	元续科技      	港               	      3.51	     11.84%	    -11.59%	🟢        	    06-28 17:54:33
65        	00607          	丰盛控股      	港               	      0.50	     11.82%	     -9.09%	🟢        	    06-28 19:09:33
66        	02262          	梁志天设计集团   	港               	      0.53	     11.67%	    -11.67%	🟢        	    06-28 17:24:35
67        	02625          	江苏宏信      	港               	      2.22	     11.57%	      2.78%	🔴        	    06-28 17:54:33
68        	02187          	智欣集团控股    	港               	      0.59	     11.32%	     11.32%	🔴        	    06-28 17:54:33
69        	06628          	创胜集团医药-B  	港               	      1.11	     11.32%	      4.72%	🔴        	    06-28 17:54:33
70        	00097          	恒基发展      	港               	      0.14	     11.11%	     -6.54%	🟢        	    06-28 18:24:36
71        	00620          	大唐西市      	港               	      0.38	     11.11%	      5.56%	🔴        	    06-28 19:24:35
72        	08403          	德丰宿来      	港               	      3.45	     11.11%	      3.60%	🔴        	    06-28 17:39:36
73        	00828          	王朝酒业      	港               	      0.19	     11.06%	     -6.53%	🟢        	    06-28 19:54:35
74        	00690          	联康生物科技集团  	港               	      0.09	     10.98%	      6.10%	🔴        	    06-28 17:54:33
75        	02216          	堃博医疗-B    	港               	      0.63	     10.94%	     -1.56%	🟢        	    06-28 19:09:33
76        	00929          	国际精密      	港               	      0.53	     10.71%	     -5.36%	🟢        	    06-28 17:39:36
77        	01661          	中国前沿科技集团  	港               	      2.10	     10.50%	      5.00%	🔴        	    06-28 18:39:36
78        	02237          	中国石墨      	港               	      0.20	     10.46%	     -9.09%	🟢        	    06-28 19:09:33
79        	08350          	立桥证券控股    	港               	      0.34	     10.45%	      1.49%	🔴        	    06-28 19:09:33
80        	06676          	找钢网-W     	港               	      0.49	     10.42%	      1.04%	🔴        	    06-28 17:54:33
81        	02500          	启明医疗-B    	港               	      1.26	     10.37%	     -6.67%	🟢        	    06-28 17:39:36
82        	01262          	蜡笔小新食品    	港               	      2.34	     10.27%	      4.46%	🔴        	    06-28 17:39:36
83        	02421          	嘉创地产      	港               	      0.62	     10.17%	      5.08%	🔴        	    06-28 19:09:33
84        	02165          	领悦服务集团    	港               	      1.58	     10.13%	      0.00%	↔️        	    06-28 18:09:34
85        	02003          	维信金科      	港               	      0.92	     10.11%	      3.37%	🔴        	    06-28 18:09:34
------------------------------------------------------------------------------------------------------------------------
合计: 85 只股票


================================================================================
统计分析汇总
================================================================================
总股票数量: 550
涨幅超过5%的股票数量: 18 (3.27%)
跌幅超过5%的股票数量: 23 (4.18%)
振幅超过6%的股票数量: 85 (15.45%)
涨幅股票平均涨幅: 12.70%
跌幅股票平均跌幅: 11.37%
涨幅最大股票: 威讯控股 (01087) 涨幅: 25.61%
跌幅最大股票: 老恒和酿造 (02226) 跌幅: 19.05%
========================================

本次分析股票数量: 550
生成时间: 2026-06-28T20:36:36.521985770
============================================================

