============================================================
股票数据分析报告[US]


涨幅超过 5% 的股票清单（按涨幅从高到低排序）
------------------------------------------------------------------------------------------------------------------------
序号        	证券代码           	股票名称      	市场      	当前价       	涨幅(%)     	涨跌方向      	最后更新              
-----     	---------      	--------  	----    	-------   	-------   	----------        
1         	AEHL           	羚羊控股      	美       	      9.22	     78.68%	🔴        	09-17 16:13:46    
2         	ZTG            	道元集团      	美       	      1.18	     75.33%	🔴        	09-17 15:43:46    
3         	HCWC           	Health..  	美       	     14.15	     40.52%	🔴        	09-17 15:58:46    
4         	BENF           	Benefi..  	美       	      0.82	     36.06%	🔴        	09-17 16:13:46    
5         	AXTU           	2倍做多AX..  	美       	     33.50	     22.85%	🔴        	09-17 15:58:46    
6         	CIFU           	2倍做多CI..  	美       	     10.07	     20.89%	🔴        	09-17 15:43:46    
7         	CIFG           	2倍做多CI..  	美       	      4.08	     20.41%	🔴        	09-17 16:43:46    
8         	CRCD           	2倍做空CR..  	美       	      2.49	     13.70%	🔴        	09-17 16:28:47    
9         	COHH           	2倍做多CO..  	美       	      5.74	     13.56%	🔴        	09-17 14:28:47    
10        	GIGM           	和信超媒体     	美       	      1.46	     11.45%	🔴        	09-17 14:58:47    
11        	HSCS           	HeartS..  	美       	      3.79	     10.17%	🔴        	09-17 14:28:47    
12        	GDTC           	新细胞医学     	美       	      0.89	     10.02%	🔴        	09-17 17:13:46    
13        	GEVG           	2倍做多GE..  	美       	     20.84	      9.74%	🔴        	09-17 16:28:47    
14        	CHOW           	ChowCh..  	美       	      0.52	      9.24%	🔴        	09-17 14:28:47    
15        	CONI           	2倍做空CO..  	美       	     33.15	      8.40%	🔴        	09-17 14:58:47    
------------------------------------------------------------------------------------------------------------------------
合计: 15 只股票


跌幅超过 5% 的股票清单（按跌幅从大到小排序）
------------------------------------------------------------------------------------------------------------------------
序号        	证券代码           	股票名称      	市场      	当前价       	跌幅(%)     	涨跌方向      	最后更新              
-----     	---------      	--------  	----    	   -------	   -------	----------	        ----------
1         	CUPR           	Cuprin..  	美       	      1.60	    -45.39%	🟢        	09-17 16:43:46    
2         	MYSE           	MYSEUM..  	美       	      2.11	    -34.67%	🟢        	09-17 16:58:47    
3         	NGHT           	Nichol..  	美       	     14.75	    -31.43%	🟢        	09-17 14:58:47    
4         	VWAV           	VISION..  	美       	      0.38	    -29.15%	🟢        	09-17 16:58:47    
5         	TANH           	碳博士控股     	美       	     14.94	    -23.89%	🟢        	09-17 17:13:46    
6         	LITZ           	2倍做空LI..  	美       	      6.84	    -19.10%	🟢        	09-17 15:43:46    
7         	MYND           	Mynd AI   	美       	      0.31	    -16.92%	🟢        	09-17 15:28:46    
8         	MPU            	Mega M..  	美       	      3.24	    -13.99%	🟢        	09-17 17:13:46    
9         	PTN            	Palati..  	美       	      9.46	    -13.53%	🟢        	09-17 14:43:46    
10        	GTBP           	GT Bio..  	美       	      7.81	    -13.22%	🟢        	09-17 15:43:46    
11        	JL             	即亮集团      	美       	      4.26	    -12.51%	🟢        	09-17 15:13:46    
12        	PRPL           	Purple..  	美       	      2.53	    -11.23%	🟢        	09-17 16:58:47    
13        	OPTT           	Ocean ..  	美       	      1.82	    -11.22%	🟢        	09-17 14:58:47    
14        	RBLU           	2倍做多RB..  	美       	      5.36	    -10.90%	🟢        	09-17 16:13:46    
15        	HOOX           	2倍做多HO..  	美       	     31.84	    -10.89%	🟢        	09-17 16:13:46    
16        	SPCG           	2倍做空Sp..  	美       	     15.28	    -10.06%	🟢        	09-17 15:43:46    
17        	CYN            	Cyngn     	美       	      0.72	     -9.60%	🟢        	09-17 17:13:46    
18        	MLEC           	Moolec..  	美       	      6.03	     -8.99%	🟢        	09-17 16:13:46    
19        	NUR            	Nuran ..  	美       	      1.08	     -8.86%	🟢        	09-17 15:43:46    
20        	FGI            	FGI In..  	美       	      9.08	     -8.74%	🟢        	09-17 14:43:46    
21        	BEZ            	2倍做空BE..  	美       	      5.85	     -8.31%	🟢        	09-17 16:28:47    
22        	HUIZ           	慧择        	美       	      1.44	     -8.28%	🟢        	09-17 15:28:46    
23        	ENLV           	Enlivex   	美       	      0.81	     -8.11%	🟢        	09-17 15:43:46    
------------------------------------------------------------------------------------------------------------------------
合计: 23 只股票


振幅超过 6% 的股票清单（按振幅从高到低排序）
------------------------------------------------------------------------------------------------------------------------
序号        	证券代码           	股票名称      	市场              	当前价       	振幅(%)     	涨幅(%)     	涨跌方向      	              最后更新
-----     	---------      	--------  	-------         	------------	-------------	--------  	----      	    --------------
1         	ZTG            	道元集团      	美               	      1.18	    193.17%	     75.33%	🔴        	    09-17 15:43:46
2         	AEHL           	羚羊控股      	美               	      9.22	    112.40%	     78.68%	🔴        	    09-17 16:13:46
3         	BENF           	Beneficient	美               	      0.82	    109.47%	     36.06%	🔴        	    09-17 16:13:46
4         	UCL            	优克联       	美               	      0.35	     45.40%	     -5.72%	🟢        	    09-17 15:58:46
5         	VWAV           	VISIONWAVE HOL..	美               	      0.38	     45.11%	    -29.15%	🟢        	    09-17 16:58:47
6         	HCWC           	Healthy Choice..	美               	     14.15	     42.20%	     40.52%	🔴        	    09-17 15:58:46
7         	ILLR           	Triller Group	美               	      0.62	     40.91%	      4.66%	🔴        	    09-17 16:13:46
8         	NGHT           	Nicholas Bitco..	美               	     14.75	     30.96%	    -31.43%	🟢        	    09-17 14:58:47
9         	NIXX           	Nixxy     	美               	      0.41	     29.59%	     -5.64%	🟢        	    09-17 16:28:47
10        	TANH           	碳博士控股     	美               	     14.94	     27.41%	    -23.89%	🟢        	    09-17 17:13:46
11        	VNTG           	Vantage   	美               	      0.59	     26.38%	      1.07%	🔴        	    09-17 14:28:47
12        	BTLN           	Brightline Int..	美               	      0.69	     26.12%	     -6.65%	🟢        	    09-17 15:28:46
13        	AXTU           	2倍做多AXTI ETF-T..	美               	     33.50	     24.72%	     22.85%	🔴        	    09-17 15:58:46
14        	MYND           	Mynd AI   	美               	      0.31	     23.98%	    -16.92%	🟢        	    09-17 15:28:46
15        	CIFG           	2倍做多CIFR ETF-L..	美               	      4.08	     22.86%	     20.41%	🔴        	    09-17 16:43:46
16        	PASW           	平安生物医药    	美               	      0.13	     22.53%	      0.98%	🔴        	    09-17 14:58:47
17        	CIFU           	2倍做多CIFR ETF-T..	美               	     10.07	     22.09%	     20.89%	🔴        	    09-17 15:43:46
18        	DYAI           	Dyadic    	美               	      0.40	     21.28%	     -5.89%	🟢        	    09-17 14:58:47
19        	NRSN           	NeuroSense The..	美               	      6.49	     21.05%	     -7.68%	🟢        	    09-17 16:13:46
20        	REFR           	Research Front..	美               	      0.38	     20.82%	      6.00%	🔴        	    09-17 15:58:46
21        	UFG            	Uni-Fuels 	美               	      0.56	     20.71%	      4.79%	🔴        	    09-17 14:28:47
22        	LITZ           	2倍做空LITE ETF- ..	美               	      6.84	     19.69%	    -19.10%	🟢        	    09-17 15:43:46
23        	GTBP           	GT Biopharma	美               	      7.81	     19.22%	    -13.22%	🟢        	    09-17 15:43:46
24        	NUR            	Nuran Wireless	美               	      1.08	     19.10%	     -8.86%	🟢        	    09-17 15:43:46
25        	COOT           	Australian Oil..	美               	      0.46	     18.68%	      3.51%	🔴        	    09-17 15:43:46
26        	MYSE           	MYSEUM.AI INC	美               	      2.11	     18.27%	    -34.67%	🟢        	    09-17 16:58:47
27        	CHOW           	ChowChow Cloud..	美               	      0.52	     17.93%	      9.24%	🔴        	    09-17 14:28:47
28        	CRCD           	2倍做空CRCL ETF-T..	美               	      2.49	     17.81%	     13.70%	🔴        	    09-17 16:28:47
29        	MPU            	Mega Matrix	美               	      3.24	     17.81%	    -13.99%	🟢        	    09-17 17:13:46
30        	FGI            	FGI Industries	美               	      9.08	     16.88%	     -8.74%	🟢        	    09-17 14:43:46
31        	GRNQ           	Greenpro Capital	美               	      9.76	     16.81%	     -5.70%	🟢        	    09-17 14:28:47
32        	CRMT           	美国汽车行     	美               	      1.81	     16.66%	      7.74%	🔴        	    09-17 15:28:46
33        	PTN            	Palatin Techno..	美               	      9.46	     16.36%	    -13.53%	🟢        	    09-17 14:43:46
34        	PLUR           	Pluri Inc 	美               	      1.14	     16.18%	     -2.91%	🟢        	    09-17 15:43:46
35        	HOOX           	2倍���多HOOD ETF-D..	美               	     31.84	     15.76%	    -10.89%	🟢        	    09-17 16:13:46
36        	OPTT           	Ocean Power Te..	美               	      1.82	     15.61%	    -11.22%	🟢        	    09-17 14:58:47
37        	BNGO           	BioNano Genomics	美               	      1.51	     15.39%	     -3.21%	🟢        	    09-17 14:28:47
38        	IHT            	InnSuites Hosp..	美               	      1.32	     15.39%	      1.54%	🔴        	    09-17 15:28:46
39        	NAII           	Natural Altern..	美               	      1.96	     15.22%	     -0.51%	🟢        	    09-17 16:13:46
40        	HSCS           	HeartSciences	美               	      3.79	     14.82%	     10.17%	🔴        	    09-17 14:28:47
